Item,Category,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein,Restaurant,States
Sausage Biscuit with Egg (Regular Biscuit),Breakfast,510.0,33.0,14.0,0.0,250.0,1170.0,36.0,2.0,2.0,18.0,McDonald's,Unknown
Sausage Biscuit with Egg (Large Biscuit),Breakfast,570.0,37.0,15.0,0.0,250.0,1280.0,42.0,3.0,3.0,18.0,McDonald's,Unknown
Sausage Biscuit with Egg Whites (Regular Biscuit),Breakfast,460.0,27.0,12.0,0.0,35.0,1180.0,34.0,2.0,3.0,18.0,McDonald's,Unknown
Sausage Biscuit with Egg Whites (Large Biscuit),Breakfast,520.0,32.0,13.0,0.0,35.0,1290.0,40.0,3.0,3.0,18.0,McDonald's,Unknown
Southern Style Chicken Biscuit (Regular Biscuit),Breakfast,410.0,20.0,8.0,0.0,30.0,1180.0,41.0,2.0,3.0,17.0,McDonald's,Unknown
Southern Style Chicken Biscuit (Large Biscuit),Breakfast,470.0,24.0,9.0,0.0,30.0,1290.0,46.0,3.0,4.0,17.0,McDonald's,Unknown
Steak & Egg Biscuit (Regular Biscuit),Breakfast,540.0,32.0,16.0,1.0,280.0,1470.0,38.0,2.0,3.0,25.0,McDonald's,Unknown
"Bacon, Egg & Cheese McGriddles",Breakfast,460.0,21.0,9.0,0.0,250.0,1250.0,48.0,2.0,15.0,19.0,McDonald's,Unknown
"Bacon, Egg & Cheese McGriddles with Egg Whites",Breakfast,400.0,15.0,7.0,0.0,35.0,1250.0,47.0,2.0,16.0,20.0,McDonald's,Unknown
Sausage McGriddles,Breakfast,420.0,22.0,8.0,0.0,35.0,1030.0,44.0,2.0,15.0,11.0,McDonald's,Unknown
"Sausage, Egg & Cheese McGriddles",Breakfast,550.0,31.0,12.0,0.0,265.0,1320.0,48.0,2.0,15.0,20.0,McDonald's,Unknown
"Sausage, Egg & Cheese McGriddles with Egg Whites",Breakfast,500.0,26.0,10.0,0.0,50.0,1320.0,46.0,2.0,15.0,21.0,McDonald's,Unknown
"Bacon, Egg & Cheese Bagel",Breakfast,620.0,31.0,11.0,0.5,275.0,1480.0,57.0,3.0,7.0,30.0,McDonald's,Unknown
"Bacon, Egg & Cheese Bagel with Egg Whites",Breakfast,570.0,25.0,9.0,0.5,60.0,1480.0,55.0,3.0,8.0,30.0,McDonald's,Unknown
"Steak, Egg & Cheese Bagel",Breakfast,670.0,35.0,13.0,1.5,295.0,1510.0,56.0,3.0,7.0,33.0,McDonald's,Unknown
Big Breakfast (Regular Biscuit),Breakfast,740.0,48.0,17.0,0.0,555.0,1560.0,51.0,3.0,3.0,28.0,McDonald's,Unknown
Big Breakfast (Large Biscuit),Breakfast,800.0,52.0,18.0,0.0,555.0,1680.0,56.0,4.0,3.0,28.0,McDonald's,Unknown
Big Breakfast with Egg Whites (Regular Biscuit),Breakfast,640.0,37.0,14.0,0.0,35.0,1590.0,50.0,3.0,3.0,26.0,McDonald's,Unknown
Big Breakfast with Egg Whites (Large Biscuit),Breakfast,690.0,41.0,14.0,0.0,35.0,1700.0,55.0,4.0,4.0,26.0,McDonald's,Unknown
Big Breakfast with Hotcakes (Regular Biscuit),Breakfast,1090.0,56.0,19.0,0.0,575.0,2150.0,111.0,6.0,17.0,36.0,McDonald's,Unknown
Big Breakfast with Hotcakes (Large Biscuit),Breakfast,1150.0,60.0,20.0,0.0,575.0,2260.0,116.0,7.0,17.0,36.0,McDonald's,Unknown
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),Breakfast,990.0,46.0,16.0,0.0,55.0,2170.0,110.0,6.0,17.0,35.0,McDonald's,Unknown
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),Breakfast,1050.0,50.0,16.0,0.0,55.0,2290.0,115.0,7.0,18.0,35.0,McDonald's,Unknown
Hotcakes,Breakfast,350.0,9.0,2.0,0.0,20.0,590.0,60.0,3.0,14.0,8.0,McDonald's,Unknown
